epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.73796,1.98239,23.4577,1.15734,0.00333,0.5,0.00306,0.00092,3.27204,14.1438,1.08268,0,0,0
2,10.8778,2.51234,19.2656,1.39044,0.00333,0.5,0.00317,0.00095,3.26631,14.558,1.05978,1.9604e-05,1.9604e-05,1.9604e-05
3,16.0676,1.79716,13.7671,1.03799,0.00333,0.5,0.00311,0.00124,3.1586,14.377,1.03601,3.8416e-05,3.8416e-05,3.8416e-05
4,20.7054,2.38505,15.4911,1.01646,0.00333,0.5,0.00297,0.00119,2.9982,13.8915,1.0042,5.6436e-05,5.6436e-05,5.6436e-05
5,25.7267,1.76253,13.9564,1.17535,0.00333,0.5,0.00289,0.00115,2.85506,13.4658,0.9797,7.3664e-05,7.3664e-05,7.3664e-05
6,30.6857,1.80811,9.94969,0.99481,0.00333,0.5,0.00281,0.00141,2.69225,12.8827,0.95696,9.01e-05,9.01e-05,9.01e-05
7,35.4026,1.64641,11.3933,1.05524,0.00333,0.5,0.00273,0.00137,2.54406,12.3056,0.93547,0.000105744,0.000105744,0.000105744
8,40.0896,1.31746,10.8604,0.98454,0.00333,0.5,0.00271,0.00163,2.22812,11.0422,0.90916,0.000120596,0.000120596,0.000120596
9,44.787,1.10475,8.01859,0.95304,0.00333,0.5,0.00271,0.00163,2.22812,11.0422,0.90916,0.000134656,0.000134656,0.000134656
10,49.7788,1.38448,14.5811,0.99759,0.00333,0.5,0.00263,0.00184,1.58387,9.17648,0.87213,0.000147924,0.000147924,0.000147924
11,54.8845,1.43088,9.78393,0.9489,0.00333,0.5,0.00263,0.00184,1.58387,9.17648,0.87213,0.0001604,0.0001604,0.0001604
12,60.5053,1.0819,7.62849,0.88483,0.00333,0.5,0.00251,0.00201,1.15141,8.05177,0.84842,0.000172084,0.000172084,0.000172084
13,66.1199,1.25535,12.9794,0.95549,0.00333,0.5,0.00251,0.00201,1.15141,8.05177,0.84842,0.000182976,0.000182976,0.000182976
14,71.8987,1.34521,12.9398,0.88959,0.00667,1,0.00703,0.00554,0.94219,7.92065,0.83777,0.000193076,0.000193076,0.000193076
15,77.4289,1.11457,11.1082,0.83012,0.00667,1,0.00703,0.00554,0.94219,7.92065,0.83777,0.000202384,0.000202384,0.000202384
16,84.0223,1.16892,11.7729,1.05095,0.00667,1,0.00913,0.00768,0.75134,7.70612,0.82124,0.0002109,0.0002109,0.0002109
17,90.0553,1.00996,8.54674,0.89965,0.00667,1,0.00913,0.00768,0.75134,7.70612,0.82124,0.000218624,0.000218624,0.000218624
18,95.8409,0.97039,9.74624,0.97545,0.00667,1,0.01401,0.01175,0.71673,7.14736,0.80721,0.000225556,0.000225556,0.000225556
19,101.903,0.80696,7.96795,0.8671,0.00667,1,0.01401,0.01175,0.71673,7.14736,0.80721,0.000231696,0.000231696,0.000231696
20,108.298,0.93647,9.66956,0.9762,0.00667,1,0.0385,0.03568,0.67739,7.13319,0.80511,0.000237044,0.000237044,0.000237044
21,114.838,0.84991,8.24496,0.87632,0.00667,1,0.0385,0.03568,0.67739,7.13319,0.80511,0.0002416,0.0002416,0.0002416
22,120.317,0.8947,9.778,0.87229,0.00667,1,0.1225,0.11467,0.6846,7.16641,0.81334,0.000245364,0.000245364,0.000245364
23,125.615,0.85472,6.69671,0.83675,0.00667,1,0.1225,0.11467,0.6846,7.16641,0.81334,0.000248336,0.000248336,0.000248336
24,130.792,0.8404,6.83169,0.84834,0.00667,1,0.1225,0.11467,0.6846,7.16641,0.81334,0.000250516,0.000250516,0.000250516
25,136.305,0.84093,7.12806,0.92794,0.00667,1,0.57833,0.51225,0.76409,6.72198,0.80536,0.000251904,0.000251904,0.000251904
26,142.543,0.83744,7.14869,0.90103,0.00667,1,0.57833,0.51225,0.76409,6.72198,0.80536,0.0002525,0.0002525,0.0002525
27,149.017,0.84518,8.57105,0.86137,0.00667,1,0.57833,0.51225,0.76409,6.72198,0.80536,0.000252304,0.000252304,0.000252304
28,155.148,0.91542,11.7402,0.87397,0.32055,1,0.745,0.53396,0.84771,6.90755,0.80045,0.000251316,0.000251316,0.000251316
29,161.028,0.86728,11.0069,0.88895,0.32055,1,0.745,0.53396,0.84771,6.90755,0.80045,0.000249536,0.000249536,0.000249536
30,166.47,0.75638,10.2005,0.89293,0.32055,1,0.745,0.53396,0.84771,6.90755,0.80045,0.000246964,0.000246964,0.000246964
31,171.413,1.2508,8.75227,0.88849,0.56278,0.68835,0.82833,0.53017,0.89844,7.06618,0.79182,0.0002436,0.0002436,0.0002436
32,176.952,1.14861,8.12816,0.85176,0.56278,0.68835,0.82833,0.53017,0.89844,7.06618,0.79182,0.000239444,0.000239444,0.000239444
33,182.402,0.85329,7.6971,0.83292,0.56278,0.68835,0.82833,0.53017,0.89844,7.06618,0.79182,0.000234496,0.000234496,0.000234496
34,187.37,0.87919,7.3966,0.85166,0.56201,0.68602,0.82833,0.46392,0.92535,6.93561,0.78149,0.000228756,0.000228756,0.000228756
35,192.212,0.80408,7.20176,0.88285,0.56201,0.68602,0.82833,0.46392,0.92535,6.93561,0.78149,0.000222224,0.000222224,0.000222224
36,197.233,0.94165,6.6066,0.86219,0.56201,0.68602,0.82833,0.46392,0.92535,6.93561,0.78149,0.0002149,0.0002149,0.0002149
37,201.984,0.6893,6.57192,0.90981,0.56201,0.68602,0.82833,0.46392,0.92535,6.93561,0.78149,0.000206784,0.000206784,0.000206784
38,207.233,0.83672,12.0135,0.91767,0.52638,0.57915,0.82833,0.46392,0.93726,6.70313,0.77338,0.000197876,0.000197876,0.000197876
39,212.264,0.71945,6.36893,0.93597,0.52638,0.57915,0.82833,0.46392,0.93726,6.70313,0.77338,0.000188176,0.000188176,0.000188176
40,217.439,0.73435,7.40704,0.86045,0.52638,0.57915,0.82833,0.46392,0.93726,6.70313,0.77338,0.000177684,0.000177684,0.000177684
41,222.289,0.9048,9.06104,0.8723,0.52638,0.57915,0.82833,0.46392,0.93726,6.70313,0.77338,0.0001664,0.0001664,0.0001664
42,227.869,0.78336,9.97257,0.83276,1,0.92117,0.995,0.57201,0.92348,6.55327,0.76973,0.000154324,0.000154324,0.000154324
43,233.157,1.00194,11.4165,0.81451,1,0.92117,0.995,0.57201,0.92348,6.55327,0.76973,0.000141456,0.000141456,0.000141456
